index,RA,DEC,n419 flux (ujy),n419 flux err (ujy),rg flux (ujy),rg flux err (ujy),g flux (ujy),g flux err (ujy),r flux (ujy),r flux err (ujy),i flux (ujy),i flux err (ujy),z flux (ujy),z flux err (ujy),n501 flux (ujy),n501 flux err (ujy),estimated line flux (cgs),estimated EW_rf (A),estimated EW_rf error (A)
102456,14.288022051144836,-0.0587539299804611,0.41960105,0.04631814,0.10042762,0.017826675,0.12645048,0.015349767,0.21406417,0.015858663,0.29655793,0.08843867,0.33539274,0.15509291,0.21889655,0.043736532,4.1664462673068255e-17,119.16656791683701,34.47934845224006
102473,14.807567976478165,-0.0587176295409534,0.5204995,0.04640098,0.26872894,0.020727124,0.29591954,0.0153969955,0.36881638,0.015839357,0.4881628,0.09328601,0.741375,0.16286871,0.3141784,0.04609279,3.286578428316384e-17,29.32400354821432,7.5173617945975
102977,14.64647760772565,-0.0569332684561591,0.6375575,0.04633341,0.20258527,0.027969616,0.17975406,0.016017554,0.1367853,0.016085515,0.16636612,0.08737513,0.15267283,0.15837778,0.1748519,0.047226585,5.678067952165148e-17,72.52440585860472,16.90782603052556
103007,15.957118315738343,-0.0551657162648281,0.3942705,0.03541949,0.17963679,0.018844346,0.17430554,0.012150289,0.16271186,0.011524706,0.11254072,0.07895515,0.10405877,0.121121936,0.23942703,0.033006575,2.801799071644892e-17,37.685438747099774,9.738500423234031
103255,14.852315296837348,-0.053471798550845,0.57457966,0.044865403,0.1711576,0.021211224,0.17465973,0.014435154,0.18293354,0.014715314,0.49215817,0.07970575,0.5103167,0.16735621,0.1298948,0.0421857,5.266216351518456e-17,81.17352279028329,17.436306358833853
103505,15.87036569750904,-0.0517468769875878,0.3264202,0.03315533,0.05589307,0.018942002,0.049568497,0.010780893,0.037674993,0.011247952,0.012452684,0.0740516,3.6307804e-07,0.119069636,0.068879314,0.031095395,3.531424125729164e-17,224.46531021470827,116.42556942384716
103696,15.785337766284202,-0.0509941205595323,0.4163159,0.03299484,0.035492867,0.015004324,0.03846346,0.0109583875,0.04621733,0.011042005,3.6307804e-07,0.073075354,3.6307804e-07,0.11974836,3.6307804e-07,0.03119518,4.9712117463766145e-17,3978.5303504416015,24026.521769410767
103703,14.483877734966772,-0.0502788578713932,0.45819375,0.04754139,0.03780268,0.023364473,0.046198264,0.015460745,0.06537971,0.016447263,3.6307804e-07,0.08674376,3.6307804e-07,0.1590061,0.12610558,0.047327098,5.48772748536939e-17,7767.417562297979,132784.34941919477
103987,15.807676666359942,-0.048602825039603,0.31839606,0.032758236,0.14895087,0.013706776,0.17860746,0.011184281,0.2704374,0.011774396,0.4306546,0.07257812,0.75874585,0.1182174,0.15207073,0.031179756,2.211914316892217e-17,35.79446865960975,9.456906318853552
104142,15.13839576258624,-0.0481624344329377,1.3871721,0.0453128,0.481579,0.024465261,0.4477911,0.014866001,0.37922743,0.0150762,0.32153922,0.08281395,3.6307804e-07,0.16830556,0.3774525,0.042587146,1.1821488371365428e-16,62.07871138970115,6.951794345183809
104188,14.283173100672824,-0.0470618553942803,0.35785198,0.04569801,0.14115453,0.0118674515,0.2576074,0.0150083825,1.0182871,0.016868234,1.2401041,0.08673744,1.384606,0.16078648,0.19546278,0.04443794,2.828738851123691e-17,49.377447592925115,12.575881497552936
104210,15.517755339743156,-0.0469440136150093,0.36168554,0.044308864,0.17801768,0.016001405,0.24493828,0.015143366,0.5078136,0.015519826,0.7205665,0.08001262,1.8935472,0.17142454,0.13223,0.043608405,2.397575104297475e-17,32.351078831860335,9.713918996067038
104271,14.515219677916376,-0.046946060643118,0.47047886,0.046265677,0.24258165,0.019505946,0.27821946,0.0151530225,0.3805355,0.015898496,0.8484836,0.08852737,0.62555784,0.16324727,0.26643887,0.043475065,2.974938985159698e-17,29.405374619731923,7.97957803483062
104353,16.062108948156936,-0.0464052377991863,0.3421028,0.03650403,0.090208665,0.015559603,0.10286195,0.012022621,0.13883539,0.012341297,0.17500019,0.08405917,0.41172215,0.12872298,0.1473955,0.033767,3.2881915594516496e-17,100.43000848376475,28.56169687543023
104545,15.858220703335936,-0.0449454869750907,0.46697304,0.033534843,0.04549036,0.01643615,0.038930703,0.010924827,0.023943791,0.011064093,3.6307804e-07,0.073288515,0.1311759,0.12456672,0.08630572,0.030891482,5.501977212891679e-17,1247.635721510456,2103.5214447298185
104797,14.70651076449697,-0.0486109817285407,1.441099,0.048126657,0.4621213,0.026368318,0.42727455,0.015877495,0.3572021,0.016354239,0.2953637,0.09382466,0.67714566,0.234131,0.35476997,0.047183055,1.27794408950069e-16,71.37320385309789,8.067614959663752
105137,14.715009425878584,-0.0411642721909425,0.7398979,0.048071258,0.18108286,0.03922817,0.12833811,0.01623278,0.058444828,0.015720837,3.6307804e-07,0.08051718,0.081587054,0.2710356,0.12340922,0.048181903,7.29469504251314e-17,114.53463843529069,35.86265302357725
105334,15.101546647495066,-0.0393095025247905,0.44541603,0.044997938,0.15230203,0.022449829,0.15835775,0.015593496,0.17311326,0.016239017,0.27237418,0.084919736,3.6307804e-07,0.2155275,0.25887436,0.045679517,3.826270035057032e-17,63.76610496275021,17.40370055535814
105412,14.823294532023413,-0.0400926593075623,0.8231121,0.045717143,0.2843003,0.023230359,0.2768033,0.014936044,0.2604098,0.015267524,0.1718138,0.07947202,3.6307804e-07,0.1852177,0.29164243,0.044481415,7.033575485562416e-17,62.64165496510013,10.101158558591395
105504,15.091005356166798,-0.0381430794173262,0.5215612,0.04419991,0.11690763,0.026595864,0.10438019,0.015244221,0.08056622,0.016117707,0.19991134,0.075977005,0.21691738,0.20840707,3.6307804e-07,0.04502673,5.282292314491471e-17,134.05440849396194,44.842902015528196
